Arabic,English
رَوَدُ (rawadu),to seduce | to demand | to get permission
تَزَكَّى (tazakkā),to purify
ازْدَادُ,to increase
زَالَت (zālat),to cease
أَسْقَيْ (ʾasqay),to give drink
سَمَّى (sammā),to name
اشْتَهَتْ,to desire
اسْتَضْعَفُ,to be oppressed
يَطْمَعُ (yaṭmaʿu),to hope | to desire
طَافَ (ṭāfa),to circulate | to go around
أَظْهَرَ (ʾaẓhara),to make apparent | to reveal
عَجِبُ (ʿajibu),to wonder | to be amazed | to be astonished
أَعْطَى (ʾaʿṭā),to give
تَعَالَ (taʿāla),to come
أَغْوَيْ (ʾaḡway),to mislead | to lead astray
تَفَرَّقَ (tafarraqa),to be divided
كَبُرَ (kabura),to be great
كَفَّ (kaffa),to restrain | to withhold | to avert
كِيدُ (kīdu),to scheme | to plot | to plan
يَنتَظِرُ,to wait
نَفَرَ (nafara),to go forth
يَهْبِطُ (yahbiṭu),to go down
هَمَّ (hamma),to determine | to plan | to plot | to desire
هَوَى (hawā),to desire
يَئِسَ (yaʾisa),to despair
يَسْتَبْشِرُ (yastabširu),to rejoice
حَضَرَ (ḥaḍara),to approach | to attend
حَفِظَ (ḥafiẓa),to guard | to protect
حَىَّ (ḥāāa),to live
دَلَّ (dalla),to indicate | to show | to direct
دَامُ (dāmu),to be as long as
سِيقَ (sīqa),to drive
شَآقُّ (šaʾāqqu),to oppose
أَشْهَدَ (ʾašhada),to make witness
ضَحِكَتْ (ḍaḥikat),to laugh
اضْطُرَّ,to force | to compel
ضَاقَ (ḍāqa),to straiten
طَلَعَ (ṭalaʿa),to look
عَدَّ (ʿadda),to count
اعْتَزَلَ,to withdraw | to leave | to keep away
يَعْمَهُ (yaʿmahu),to wander blindly
عَمِىَ,to be blind
افْتَدَى,to offer ransom
أَفَاضَ (ʾafāḍa),to depart
يُكَلِّفُ (yukallifu),to burden
الْتَقَى (al-taqā),to meet
أُمْطِرَتْ (ʾumṭirat),to shower | to send rain
تَنَزَعُ (tanazaʿu),to dispute | to disagree
تَنَزَّلَتْ (tanazzalat),to descend | to bring down
أَنسَى,to make forget
انتَصَرَ,to defend | to help
يُنقَصُ,to decrease | to reduce | to lessen
يَزِرُ (yaziru),to bear
يَسْتَأْخِرُ (yastaʾḵiru),to delay | to postpone
يَنۢبَغِى,to be appropriate
بَلَّغْ (ballaḡ),to convey
بَآءَ (baʾāʾa),to incur | to turn back
بَوَّأَ (bawwaʾa),to settle
بَايَعْ (bāyaʿ),to pledge allegiance
ثُقِفُ (ṯuqifu),to find | to gain dominance
يُجِيرُ (yujīru),to protect
يَخْفَى (yaḵfā),to hide
أَدْرَكَ (ʾadraka),to overtake | to grasp
ذَرَأَ (ḏaraʾa),to create | to produce | to multiply
زَاغَ (zāḡa),to deviate | to turn away | to swerve
أَسْرَفَ (ʾasrafa),to be extravagant | to exceed | to transgress
أَسْرَى (ʾasrā),to travel | to take
سَلَّمَ (sallama),to submit | to greet | to pay
شَدَدْ (šadad),to strengthen
تَصَدَّقَ (taṣaddaqa),to give charity
يَصْفَحُ (yaṣfaḥu),to overlook
ظَهَرُ (ẓaharu),to support | to back
عَاقَبَ (ʿāqaba),to retaliate
عَهِدَ (ʿahida),to make a covenant | to promise
غَضِبَ (ḡaḍiba),to be angry
يَسْتَفْتُ (yastaftu),to seek ruling | to inquire | to ask
فُجِّرَتْ (fujjirat),to cause gush
فَرَّتْ (farrat),to flee
أَقْرَضُ (ʾaqraḍu),to lend | to loan
قَلَّبُ (qallabu),to turn | to alternate
لَقَّى (laqqā),to grant | to receive
اسْتَمْتَعَ,to profit | to benefit | to enjoy
مُلِئَتْ (muliʾat),to fill
يَتَمَنَّ (yatamanna),to wish
نَزَلَ (nazala),to descend | to bring down
نَقَضَتْ (naqaḍat),to break
انتَقَمْ,to take retribution
نَكَثَ (nakaṯa),to break (oath)
وَسِعَ (wasiʿa),to encompass | to extend
آثَرَ (ʾāṯara),to prefer
يُؤَدِّ (yuʾaddi),to discharge | to deliver
أَلَّفَ (ʾallafa),to join | to reconcile
ءَانَسَ (ʾānasa),to perceive
أَوَى (ʾawā),to seek shelter
بَثَّ (baṯṯa),to disperse
يَبْخَسْ (yabḵas),to diminish | to deprive
تَبَرَّأَ (tabarraʾa),to disown
بَرَزَ (baraza),to come forth | to go out
بَطَشْ (baṭaš),to seize
بَكَتْ (bakat),to weep
أَبْلَغُ (ʾablaḡu),to convey
أَثَارُ (ʾaṯāru),to raise | to plough
أَجْرَمُ (ʾajramu),to commit crime
جَهَرَ (jahara),to speak loudly
يَجْهَلُ (yajhalu),to be ignorant
أَحْصَنَتْ (ʾaḥṣanat),to guard | to protect
حُمِّلَ (ḥummila),to place | to entrust
خَتَمَ (ḵatama),to seal
خَلَفَ (ḵalafa),to succeed | to come after
اسْتَخْلَفَ,to grant succession
خَانُ (ḵānu),to betray
دَرَسُ (darasu),to study | to learn
دَفَعْ (dafaʿ),to defend | to deliver | to repel
ذُبِحَ (ḏubiḥa),to slaughter | to sacrifice
رَجَمْ (rajam),to stone
أَرْضَعَتْ (ʾarḍaʿat),to nurse | to suckle
يَرْكَعُ (yarkaʿu),to bow
يَرْهَقُ (yarhaqu),to cover
زُوِّجَتْ (zuwwijat),to marry | to be paired
اسْتَبَقَ,to race
أَسْكَن (ʾaskan),to make dwell | to settle | to lodge
سَلَفَ (salafa),to pass (before)
أَسَآءَ (ʾasaʾāʾa),to do evil
سُيِّرَتْ (suyyirat),to move
شَرَحَ (šaraḥa),to expand | to open
يَشْفَعُ (yašfaʿu),to intercede
انشَقَّ,to split
طَعِمُ (ṭaʿimu),to eat | to taste | to feed
طُمِسَتْ (ṭumisat),to blind | to destroy | to obliterate
تَطَهَّرْ (taṭahhar),to cleanse | to purify
عَتَ (ʿata),to be insolent | to exceed | to rebel
تَعْثَ (taʿṯa),to act wickedly | to commit evil
عَجِلَ (ʿajila),to hasten
عَجَّلَ (ʿajjala),to hasten
يَعْتَذِرُ (yaʿtaḏiru),to make excuse
يَعْرُجُ (yaʿruju),to ascend
اعْتَصَمُ,to hold fast
عَقَرَ (ʿaqara),to hamstrung
يُعَمَّرُ (yuʿammaru),to grant life
غَلَّ (ḡalla),to defraud | to chain | to shackle
يُفْتِي (yuftī),to give ruling | to explain | to advise
فَرَّط (farraṭ),to neglect | to fail
فَرَقْ (faraq),to divide
فَصَلَ (faṣala),to set out | to depart | to judge
قَبَضْ (qabaḍ),to withhold | to withdraw | to close
قَرَّبَ (qarraba),to bring close
اقْتَرَبَ,to approach | to go near
تَقَرَّ (taqarra),to cool | to comfort
تَقَطَّعَ (taqaṭṭaʿa),to cut | to severe
أُكْرِهَ (ʾukriha),to compel | to force
